No	Symbol	StockName	Sector	Industry
241	BGCP	BGCパートナーズ ...	金融	総合資本市場
242	BGFV	ビッグ５スポーテ...	一般消費財	専門店
243	BGRY	BGRY	資本財	Specialty Industrial Machinery
244	BGS	ビー・アンド・ジ...	生活必需品	包装食品・肉
245	BH	ビグラリ・ホール...	一般消費財	レストラン
246	BHB	バー・ハーバー・...	金融	アメリカ地域銀行
247	BHE	ベンチマーク・エ...	情報技術	委託製造業
248	BHG	ブライト・ヘルス...	ヘルスケア	Healthcare Plans
249	BHIL	Benson Hill Inc	基本素材	農業用資材
250	BHLB	バークシャイアヒ...	金融	アメリカ地域銀行
251	BHR	ブレイマー・ホテ...	不動産	REIT-Hotel & Motel
252	BHVN	バイオヘイブン・...	ヘルスケア	バイオテクノロジー
253	BIG	ビッグ・ロッツ	一般消費財	専門店
254	BIGC	ビッグコマース・...	情報技術	インターネットサービスおよびインフラストラクチャー
255	BIPC	ブルックフィール...	公益事業	ガス
256	BIRD	AllbirdsInc	Consumer Cyclical	Apparel Retail
257	BJRI	ビージェイズ・レ...	一般消費財	レストラン
258	BKD	ブルックデール・...	ヘルスケア	ヘルスケア施設
259	BKE	バックル	一般消費財	衣料小売り
260	BKH	ブラック・ヒルズ	公益事業	総合公益事業
261	BKKT	バックト・ホール...	テクノロジー	Software-Infrastructure
262	BKU	バンクユナイテッド	金融	アメリカ地域銀行
263	BL	ブラックライン	情報技術	システム・ソフトウェア
264	BLBD	ブルー・バード	一般消費財	自動車製造
265	BLDE	エクスペリエンス...	資本財	空港サービス
266	BLFS	バイオライフ・ソ...	ヘルスケア	ヘルスケア用品
267	BLFY	ブルー・ファウン...	金融サービス	Banks-Regional
268	BLKB	ブラックボー	情報技術	アプリケーション・ソフトウェア
269	BLMN	ブルーミン・ブランズ	一般消費財	レストラン
270	BLND	BlendLabsInc	テクノロジー	Software-Application
271	BLNK	ブリンク・チャー...	資本財	サービス業
272	BLUE	ブルーバード・バイオ	ヘルスケア	バイオテクノロジー
273	BLX	バンコ・ラティー...	金融	南アメリカ地域銀行
274	BMBL	BumbleInc	テクノロジー	Software-Application
275	BMI	バッジャー・メーター	情報技術	化学・技術的機械
276	BMRC	バンク・オブ・マ...	金融	アメリカ地域銀行
277	BNGO	バイオナノ・ジェ...	ヘルスケア	診断・研究
278	BNL	ブロードストーン...	不動産	REIT-Diversified
279	BOC	ボストン・オマハ	Communication Services	Advertising Agencies
280	BODY	Body Central Corp	一般消費財	その他
281	BOOM	DMCグローバル	素材	金属・ガラス容器
282	BOOT	ブート・バーン・...	一般消費財	衣料小売り
283	BORR	ボル・ドリリング	エネルギー	Oil & Gas Drilling
284	BOWL	Isos Acquisition ...	電気通信	Entertainment
285	BOX	ボックス クラスA	情報技術	システム・ソフトウェア
286	BPMC	ブループリント・...	ヘルスケア	バイオテクノロジー
287	BRBR	BellRingBrandsInc	生活必需品	Packaged Foods
288	BRBS	Blue Ridge Banksh...	金融	Banks-Regional
289	BRC	ブレイディー・コ...	資本財	セキュリティ・警報装置サービス
290	BRCC	BRC Inc.	Consumer Defensive	Packaged Foods
291	BRDS	バード・グローバル	資本財	レンタル・リース
292	BRKL	ブルックリン・バ...	金融	アメリカ地域銀行
293	BRP	BRPGroupInc	金融	保険ブローカー
294	BRSP	コロニー・クレジ...	不動産	REIT-Diversified
295	BRT	BRTアパートメンツ	不動産	住宅用不動産投資信託
296	BRY	BerryCorp	エネルギー	石油・ガス探査・開発
297	BSIG	ブライトスフィア...	金融	資産運用会社・資産管理銀行
298	BSRR	シエラ・バンコープ	金融	アメリカ地域銀行
299	BTAI	BioxcelTherapeuti...	ヘルスケア	バイオテクノロジー
300	BTU	ピーボディ・エナジー	エネルギー	Thermal Coal
301	BUSE	ファースト・ビュ...	金融	アメリカ地域銀行
302	BV	BrightViewHolding...	資本財	環境関連・ファシリティサービス
303	BVH	ブルーグリーン・...	一般消費財	その他
304	BVS	BioventusInc	その他	その他
305	BW	バブコック・アン...	資本財	Specialty Industrial Machinery
306	BWB	BridgewaterBancsh...	金融	貯蓄・抵当・不動産金融
307	BWFG	バンクウェル・フ...	金融	地方銀行
308	BXC	ブルーリンクス・...	素材	建設資材
309	BXMT	ブラック・ストー...	金融	REIT-Mortgage
310	BY	BylineBancorpInc	金融	地方銀行
311	BYND	ビヨンド・ミート	生活必需品	包装食品・肉
312	BZH	ビーザー・ホーム...	一般消費財	住宅建設
313	CAC	カムデン・ナショナル	金融	アメリカ地域銀行
314	CADE	ケイデンス・バン...	金融	地方銀行
315	CAKE	チーズケーキ・フ...	一般消費財	レストラン
316	CAL	キャリアズ	一般消費財	アパレル・アクセサリー・贅沢品
317	CALM	カルメイン・フーズ	生活必需品	包装食品・肉
318	CALX	カリス	情報技術	通信機器
319	CANO	カノ・ヘルス	ヘルスケア	Medical Care Facilities
320	CARA	カラ・セラピュー...	ヘルスケア	バイオテクノロジー
321	CARE	カーターバンク・...	金融	地方銀行
322	CARG	CargurusInc	電気通信	インタラクティブ・メディアおよびサービス
323	CARS	カーズ・コム	一般消費財	自動車小売り
324	CASA	カサ・システムズ	情報技術	通信機器
325	CASH	メタ・ファイナン...	その他	その他
326	CASS	キャス・インフォ...	資本財	サービス業
327	CATC	ケンブリッジ・バ...	金融	地方銀行
328	CATO	カト クラスA	一般消費財	衣料小売り
329	CATY	キャセイ・ゼネラ...	金融	アメリカ地域銀行
330	CBAN	コロニー・バンク...	金融	地方銀行
331	CBL	CBLアンド・アソシ...	不動産	店舗用不動産投資信託
332	CBNK	チコピー・バンコープ	金融	Banks-Regional
333	CBRL	クラッカー・バレ...	一般消費財	レストラン
334	CBT	キャボット	素材	特殊化学品
335	CBU	コミュニティー・...	金融	アメリカ地域銀行
336	CBZ	CBIZ	資本財	調査・コンサルティングサービス
337	CCB	CoastalFinancialC...	金融	地方銀行
338	CCBG	キャピタル・シテ...	金融	アメリカ地域銀行
339	CCCC	C4セラピューティクス	ヘルスケア	その他
340	CCF	チェース	資本財	その他製造業
341	CCNE	シーエヌビー・フ...	金融	アメリカ地域銀行
342	CCO	ClearChannelOutdo...	電気通信	広告
343	CCOI	コジェント・コミ...	電気通信	総合電気通信サービス
344	CCRN	クロス・カントリ...	ヘルスケア	Medical Care Facilities
345	CCS	センチュリー・コ...	一般消費財	住宅建設
346	CCSI	コンセンサス・ク...	テクノロジー	Software-Infrastructure
